Link,Description
https://youtu.be/wR0jg0eQsZA?si=gkL6d_Y8_EkMhQZE,Database roadmap
https://youtu.be/5OdVJbNCSso?si=WWCrfxcVVVvytIHH,MySql
https://youtu.be/4Z9KEBexzcM?si=WQtx36-8TxS1RJr5,Intro to databases
SQL Tutorial: Learn SQL from Scratch for Beginners,SQL tutorial
