Link,Description
https://youtu.be/vUn5akOlFXQ?si=aiaq0iSAHMMXLfSL,IDE roadmap
https://youtu.be/EUJlVYggR1Y?si=IUymQIPARg0vdQUX,VS Code tutorial
https://youtu.be/WZpwCim3OgY?si=YpjPkxNLytFdzFU4,Java IDEs
