Link,Description
AndrejKarpathyAI,YT channel that does in depth AI explanations
Courses - DeepLearning.AI,Beginner AI courses
Practical Deep Learning for Coders - Practical Deep Learning,Deep Learning tutorials
How to Learn AI From Scratch in 2025: A Complete Expert Guide | DataCamp,Amazing beginner's guide to AI
https://youtu.be/JAWSqX2fBvQ?si=tvj2KO8QhXG1DiYS,AI/ML roadmap vid 
https://youtu.be/jC4v5AS4RIM?si=WcGfWYEtxTrzSP-a,Prompt engineering (ChatGPT)
