Link,Description
https://www.freecodecamp.org/news/guide-to-git-github-for-beginners-and-experienced-devs/,Beginner's guide to Git & GitHub
https://youtu.be/8Dd7KRpKeaE?si=mC4eyR5sn7TjKMbv,"Beginner's guide to Git, GitHub, & Git desktop (video)"
https://education.github.com/git-cheat-sheet-education.pdf,GitHub cheatsheet
https://learngitbranching.js.org/?locale=en_US,Learn Git branching
