Link,Description
https://www.youtube.com/watch?v=KJgsSFOSQv0,C lang crash course
https://www.youtube.com/watch?v=ZzaPdXTrSb8,C++ crash course
https://www.codecademy.com/learn/learn-c-sharp,C# crash course
https://www.codecademy.com/learn/learn-go,Go lang crash course
https://youtu.be/eIrMbAQSU34?si=UEltt2QqF27W8TNM,Java crash course
https://www.youtube.com/watch?v=XKHEtdqhLK8&list=PLBgfxD61XUkORsK8SMkLlwvePwALxIMTQ&index=1,Python crash course
https://youtu.be/5-MLMzbUlPY?si=e7nB1Umb--uup7ni,Full stack roadmap
https://www.youtube.com/watch?v=QkV3xlxdF_0,Data Structures & Algorithms crach course (python)
